procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 KST
 0  0      0 31470848   5504 6110084    0    0     0     8 3943 4339  0  0 100  0  0 2025-08-25 13:15:46
 0  0      0 31470848   5504 6110084    0    0     0     8  851 1383  0  0 100  0  0 2025-08-25 13:15:47
 0  0      0 31470848   5504 6110084    0    0     0     0  823 1375  0  0 100  0  0 2025-08-25 13:15:48
 0  0      0 31470848   5504 6110084    0    0     0     0  858 1350  0  0 100  0  0 2025-08-25 13:15:49
 0  0      0 31470848   5504 6110084    0    0     0    40  833 1370  0  0 100  0  0 2025-08-25 13:15:50
 0  0      0 31470848   5504 6110084    0    0     0     0  906 1378  0  0 100  0  0 2025-08-25 13:15:51
 0  0      0 31470848   5504 6110084    0    0     0     0  832 1394  0  0 100  0  0 2025-08-25 13:15:52
 0  0      0 31470848   5504 6110084    0    0     0     4  991 1394  0  0 100  0  0 2025-08-25 13:15:53
 0  0      0 31470848   5504 6110084    0    0     0     0  883 1360  0  0 100  0  0 2025-08-25 13:15:54
 0  0      0 31470848   5504 6110084    0    0     0    44  921 1368  0  0 100  0  0 2025-08-25 13:15:55
 0  0      0 31470848   5504 6110084    0    0     0     0  939 1420  0  0 100  0  0 2025-08-25 13:15:56
 0  0      0 31469840   5504 6110084    0    0     0     0  917 1404  0  0 100  0  0 2025-08-25 13:15:57
 1  0      0 31469840   5504 6110084    0    0     0     0  933 1394  0  0 100  0  0 2025-08-25 13:15:58
 0  0      0 31469840   5504 6110084    0    0     0     4  858 1370  0  0 100  0  0 2025-08-25 13:15:59
 0  0      0 31469840   5504 6110276    0    0     0    60 2537 2994  0  0 100  0  0 2025-08-25 13:16:00
 0  0      0 31469840   5504 6110276    0    0     0     0  954 1413  0  0 100  0  0 2025-08-25 13:16:01
 0  0      0 31469840   5504 6110276    0    0     0     0  800 1345  0  0 100  0  0 2025-08-25 13:16:02
 0  0      0 31469840   5504 6110276    0    0     0     0  825 1347  0  0 100  0  0 2025-08-25 13:16:03
 1  0      0 31469840   5504 6110276    0    0     0     0  845 1372  0  0 100  0  0 2025-08-25 13:16:04
 0  0      0 31469840   5504 6110276    0    0     0    44  878 1370  0  0 100  0  0 2025-08-25 13:16:05
 0  0      0 31469840   5504 6110276    0    0     0     8  907 1419  0  0 100  0  0 2025-08-25 13:16:06
 0  0      0 31469840   5504 6110276    0    0     0     8  947 1409  0  0 100  0  0 2025-08-25 13:16:07
 0  0      0 31469840   5504 6110276    0    0     0     0  933 1417  0  0 100  0  0 2025-08-25 13:16:08
 0  0      0 31469840   5504 6110276    0    0     0     0  833 1362  0  0 100  0  0 2025-08-25 13:16:09
 1  0      0 31469840   5504 6110276    0    0     0    48  870 1451  0  0 100  0  0 2025-08-25 13:16:10
 0  0      0 31469840   5504 6110276    0    0     0    10  887 1425  0  0 100  0  0 2025-08-25 13:16:11
 0  0      0 31469840   5504 6110276    0    0     0     0  895 1414  0  0 100  0  0 2025-08-25 13:16:12
 0  0      0 31469840   5504 6110276    0    0     0     0  888 1388  0  0 100  0  0 2025-08-25 13:16:13
 0  0      0 31469840   5504 6110276    0    0     0     0  814 1341  0  0 100  0  0 2025-08-25 13:16:14
 0  0      0 31469840   5504 6110276    0    0     0     0  845 1340  0  0 100  0  0 2025-08-25 13:16:15
 0  0      0 31469840   5504 6110276    0    0     0    44  848 1402  0  0 100  0  0 2025-08-25 13:16:16
 0  0      0 31469588   5504 6110276    0    0     0     4  885 1397  0  0 100  0  0 2025-08-25 13:16:17
